"AREA_CODE","AREA_NAME","COMPONENT","SEX","AGE_GROUP","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047"
E38000240,NHS North Central London ICB - 93C,Population,persons,0,16837.000,16145.635,16450.880,16672.052,16619.646,16511.858,16482.439,16500.173,16556.472,16619.133,16686.605,16770.367,16867.161,16969.394,17076.603,17191.354,17313.656,17437.646,17559.729,17680.372,17797.148,17898.661,17980.521,18049.758,18105.703,18149.501
E38000240,NHS North Central London ICB - 93C,Population,persons,1,15995.000,16771.996,16038.426,16089.481,16251.381,16201.182,16106.929,16087.454,16106.473,16158.878,16217.661,16281.146,16360.057,16451.230,16547.717,16649.127,16757.812,16873.654,16991.118,17106.711,17220.871,17331.255,17426.986,17503.873,17568.731,17620.893
E38000240,NHS North Central London ICB - 93C,Population,persons,2,16186.000,16005.215,16668.976,15743.294,15745.030,15897.606,15861.590,15785.604,15772.997,15790.963,15840.510,15896.464,15957.006,16032.334,16119.118,16211.232,16308.140,16412.114,16523.009,16635.358,16745.907,16854.969,16960.508,17051.855,17124.928,17186.528
E38000240,NHS North Central London ICB - 93C,Population,persons,3,15919.000,16182.085,15912.656,16355.851,15417.644,15418.724,15580.832,15564.422,15498.300,15486.726,15503.847,15551.166,15604.787,15662.929,15735.215,15818.590,15907.218,16000.644,16100.871,16207.777,16316.134,16422.795,16527.963,16629.586,16717.398,16787.546
E38000240,NHS North Central London ICB - 93C,Population,persons,4,16084.000,15942.356,16099.933,15640.851,16028.215,15120.363,15140.423,15317.005,15308.926,15245.449,15235.076,15251.637,15297.134,15348.961,15405.101,15474.925,15555.451,15641.269,15731.744,15828.834,15932.394,16037.430,16140.814,16242.637,16341.056,16426.015
E38000240,NHS North Central London ICB - 93C,Population,persons,5,16257.000,16156.024,15937.388,15898.647,15408.665,15788.035,14921.703,14962.137,15141.370,15134.128,15072.573,15063.077,15079.263,15123.478,15173.965,15228.623,15296.626,15375.010,15458.695,15546.841,15641.553,15742.661,15845.134,15945.970,16045.287,16141.235
E38000240,NHS North Central London ICB - 93C,Population,persons,6,16577.000,16374.959,16183.987,15800.941,15719.466,15240.328,15630.409,14801.168,14848.723,15024.496,15017.928,14957.851,14949.023,14964.920,15008.148,15057.600,15111.087,15177.787,15254.490,15336.475,15422.889,15515.791,15614.968,15715.514,15814.382,15911.768
E38000240,NHS North Central London ICB - 93C,Population,persons,7,15949.000,16696.433,16416.862,16055.650,15647.639,15564.803,15112.184,15513.446,14706.821,14754.323,14926.749,14920.853,14862.067,14853.782,14869.417,14911.767,14960.243,15012.626,15078.009,15153.166,15233.574,15318.401,15409.614,15507.025,15605.886,15702.985
E38000240,NHS North Central London ICB - 93C,Population,persons,8,16142.000,16067.016,16720.004,16293.781,15898.211,15503.184,15434.150,15006.698,15407.534,14616.016,14663.014,14832.170,14826.719,14769.184,14761.321,14776.636,14818.063,14865.578,14916.969,14981.107,15054.842,15133.817,15217.105,15306.764,15402.521,15499.711
E38000240,NHS North Central London ICB - 93C,Population,persons,9,16396.000,16207.691,16073.301,16567.720,16115.538,15722.441,15353.579,15299.049,14886.117,15281.092,14504.797,14551.655,14717.638,14712.703,14656.438,14649.051,14664.062,14704.603,14751.244,14801.566,14864.544,14936.856,15014.335,15096.137,15184.241,15278.381
E38000240,NHS North Central London ICB - 93C,Population,persons,10,17129.000,16514.031,16261.400,15998.616,16447.668,16000.928,15621.729,15276.871,15226.691,14821.102,15211.132,14446.649,14493.227,14656.597,14652.003,14596.704,14589.660,14604.398,14644.183,14690.009,14739.481,14801.443,14872.599,14948.859,15029.434,15116.250
E38000240,NHS North Central London ICB - 93C,Population,persons,11,17377.000,17189.055,16531.463,16153.827,15872.137,16307.089,15877.341,15512.445,15182.625,15132.098,14733.682,15118.727,14366.410,14412.631,14573.258,14568.872,14514.580,14507.739,14522.193,14561.170,14606.120,14654.654,14715.484,14785.354,14860.292,14939.575
E38000240,NHS North Central London ICB - 93C,Population,persons,12,17156.000,17440.780,17203.883,16436.217,16033.460,15761.080,16192.807,15780.648,15422.253,15102.451,15051.056,14659.445,15039.679,14298.804,14344.463,14502.318,14498.191,14444.848,14438.166,14452.332,14490.605,14534.712,14582.354,14642.118,14710.790,14784.512
E38000240,NHS North Central London ICB - 93C,Population,persons,13,17361.000,17246.039,17472.034,17122.160,16342.367,15943.559,15687.195,16117.167,15713.905,15358.836,15047.451,14995.755,14610.799,14985.546,14255.539,14300.756,14456.152,14452.309,14399.829,14393.319,14407.290,14444.900,14488.247,14535.077,14593.873,14661.520
E38000240,NHS North Central London ICB - 93C,Population,persons,14,17495.000,17498.307,17335.076,17422.398,17053.130,16287.174,15898.782,15659.020,16081.222,15683.591,15331.142,15028.501,14975.824,14596.484,14966.483,14246.939,14291.414,14444.156,14440.469,14388.908,14382.612,14396.283,14433.169,14475.735,14521.696,14579.564
E38000240,NHS North Central London ICB - 93C,Population,persons,15,16613.000,17767.766,17717.505,17415.319,17470.078,17107.918,16360.049,15980.065,15749.210,16162.943,15768.590,15417.087,15120.539,15066.885,14690.645,15057.111,14343.139,14387.165,14538.069,14534.535,14483.582,14477.357,14490.861,14527.200,14569.170,14614.588
E38000240,NHS North Central London ICB - 93C,Population,persons,16,16627.000,16999.978,18076.972,17861.014,17531.611,17583.963,17235.230,16504.058,16127.432,15901.946,16309.196,15916.834,15566.071,15275.592,15220.359,14847.030,15210.571,14501.096,14544.855,14694.282,14690.899,14640.548,14634.395,14647.795,14683.651,14725.157
E38000240,NHS North Central London ICB - 93C,Population,persons,17,16776.000,17080.268,17374.935,18196.851,17941.481,17624.199,17679.870,17350.806,16636.187,16263.612,16046.278,16442.818,16054.712,15706.511,15424.655,15367.632,15000.002,15356.533,14657.029,14700.158,14846.794,14843.727,14794.396,14788.488,14801.589,14836.647
E38000240,NHS North Central London ICB - 93C,Population,persons,18,17471.000,18084.232,18219.832,18036.360,18738.523,18493.570,18221.007,18290.308,17988.903,17296.484,16929.032,16726.764,17105.787,16720.955,16376.746,16108.196,16042.775,15682.036,16023.882,15331.854,15372.703,15514.894,15512.727,15464.963,15459.165,15471.796
E38000240,NHS North Central London ICB - 93C,Population,persons,19,18449.000,19219.937,19406.932,18630.700,18416.638,19038.416,18845.035,18727.704,18805.160,18593.618,17983.852,17660.043,17509.170,17827.931,17460.654,17150.307,16927.057,16826.282,16506.898,16779.061,16131.209,16162.651,16285.862,16288.687,16249.914,16246.643
E38000240,NHS North Central London ICB - 93C,Population,persons,20,18322.000,20439.289,20991.689,20344.694,19525.238,19408.734,20032.014,19880.532,19822.910,19915.848,19751.168,19171.437,18840.036,18719.364,19000.422,18628.971,18317.772,18107.267,17989.670,17656.121,17908.197,17254.995,17279.800,17394.645,17396.481,17360.378
E38000240,NHS North Central London ICB - 93C,Population,persons,21,17676.000,20471.504,22123.043,22142.777,21445.939,20731.272,20739.516,21435.332,21307.992,21284.102,21402.114,21272.460,20689.415,20331.438,20230.893,20491.420,20098.354,19770.526,19556.219,19421.245,19051.735,19301.285,18607.495,18627.096,18740.677,18740.539
E38000240,NHS North Central London ICB - 93C,Population,persons,22,19720.000,21765.110,23802.822,24563.152,24694.149,24107.481,23561.996,23744.887,24560.583,24426.678,24451.861,24623.192,24533.765,23908.457,23493.820,23406.401,23667.042,23218.484,22844.656,22611.987,22440.615,21998.369,22257.080,21457.890,21470.168,21589.463
E38000240,NHS North Central London ICB - 93C,Population,persons,23,22276.000,24874.549,26110.847,26778.106,27293.419,27614.526,27199.922,26831.035,27136.283,28045.037,27904.271,27972.903,28195.448,28132.282,27463.413,26991.474,26909.293,27181.083,26675.900,26255.118,26003.586,25796.630,25286.908,25555.510,24652.356,24658.184
E38000240,NHS North Central London ICB - 93C,Population,persons,24,23052.000,25274.376,26838.586,26861.680,27127.808,27621.945,28182.264,27982.089,27707.558,28047.511,28979.474,28841.104,28931.649,29174.305,29127.973,28453.224,27961.876,27884.746,28155.115,27631.857,27196.301,26941.976,26720.747,26186.915,26454.705,25517.972
E38000240,NHS North Central London ICB - 93C,Population,persons,25,23858.000,25151.676,26622.604,27018.503,26757.437,26957.889,27563.962,28305.821,28178.601,27922.079,28279.768,29208.162,29074.829,29178.385,29428.213,29393.616,28727.701,28230.867,28157.818,28422.870,27897.085,27457.855,27207.232,26979.479,26439.974,26702.798
E38000240,NHS North Central London ICB - 93C,Population,persons,26,24301.000,26103.361,26833.800,27295.474,27354.714,27077.014,27335.663,28030.545,28824.039,28708.231,28464.644,28836.450,29763.172,29634.262,29748.586,30004.658,29979.426,29321.556,28820.194,28749.957,29011.586,28484.120,28041.341,27794.259,27561.013,27017.426
E38000240,NHS North Central London ICB - 93C,Population,persons,27,24967.000,26398.177,27753.928,27572.679,27779.112,27750.804,27543.923,27859.055,28563.279,29360.680,29255.814,29023.846,29405.994,30329.183,30203.385,30327.002,30587.848,30570.312,29921.468,29417.852,29350.488,29609.315,29081.888,28638.221,28395.346,28157.702
E38000240,NHS North Central London ICB - 93C,Population,persons,28,25243.000,26883.108,27889.849,28403.178,28019.108,28181.057,28158.672,28022.855,28335.626,29017.058,29813.897,29717.993,29496.753,29886.566,30804.225,30680.620,30812.139,31076.466,31065.293,30426.378,29922.649,29858.055,30114.076,29587.976,29145.212,28907.076
E38000240,NHS North Central London ICB - 93C,Population,persons,29,25185.000,27016.520,28178.228,28380.549,28731.760,28347.397,28542.174,28540.726,28421.079,28707.106,29366.208,30156.649,30069.682,29858.409,30252.942,31162.515,31041.712,31179.495,31446.070,31440.378,30813.508,30311.725,30249.721,30502.567,29980.322,29540.184
E38000240,NHS North Central London ICB - 93C,Population,persons,30,25084.000,26009.363,27414.096,27737.243,27777.511,28129.088,27821.818,28060.753,28052.820,27932.201,28192.238,28816.379,29578.325,29499.042,29299.202,29683.220,30556.417,30440.873,30577.588,30836.318,30833.596,30234.479,29750.599,29692.545,29935.163,29432.228
E38000240,NHS North Central London ICB - 93C,Population,persons,31,24919.000,25859.605,26356.133,27011.250,27139.415,27191.274,27603.484,27372.545,27609.256,27573.435,27451.626,27690.181,28283.337,29017.785,28946.057,28756.997,29130.642,29970.843,29859.450,29995.085,30246.477,30246.203,29672.806,29205.612,29151.318,29384.987
